hvor;how (degree)
god;good, nice
ny;new
stor;big
kort;short
varm;warm, hot
책pen;open
vanskelig;difficult
veldig;very
fin;nice
kald;cold
lang;long
trygg;safe, secure
d책rlig;bad, poor
mye;much
tung;heavy
viktig;important
skitten;dirty
ganske;rather, pretty, somewhat
ren;clean
lett;light
mulig;possible
vanlig;common, usual
forferdelig;terrible, awful
hel;whole
flott;great
hard;hard
en liten stol;a small chair (Masculine)
lille stolen;the small chair (Masculine)
ei lita bok;a small book (Feminine)
lille boka;the small book (Feminine)
et lite bord;a small table (Neuter)
lille bordet;the small table (Neuter)
sm책 hus;small houses (Plural)
sm책 husene;the small houses (Plural)
